ADDRESS,SQFT,BEDS,BATHS,BTH_STYLE,KITCH_STYLE,PROPERTY_TYPE,YRS_SINCE_REMOD,HOA_FEES,NEIGHBORHOOD,PROPERTY_TYPE,AGE_OF_HOME,LIST_PRICE,DAYS_ON_MKT,AVE_PRICE_IN_NEIGHBORHOOD
463 Massachusetts Ave #3,786.0,1.0,1.0,S,S,Condo/Co-op,49.0,165.0,South End,Condo/Co-op,120.0,569000.0,62.0,1109405.737771739
44 Lorraine St,2400.0,5.0,1.5,S,M,Single Family Residential,3.0,0.0,Roslindale,Single Family Residential,129.0,679900.0,78.0,523412.4187082406
10 Bruce St,1843.0,6.0,1.5,M,M,Single Family Residential,18.0,0.0,Dorchester,Single Family Residential,119.0,479000.0,64.0,562529.161971831
162 Sherrin St,1224.0,3.0,1.5,M,M,Single Family Residential,3.0,0.0,Hyde Park,Single Family Residential,63.0,379900.0,54.0,449727.45945945947
31 Goethe St,1926.0,4.0,3.0,M,M,Single Family Residential,3.0,0.0,West Roxbury,Single Family Residential,79.0,469900.0,55.0,585752.2868686869
10 Centre Ln,1313.0,4.0,2.0,S,M,Single Family Residential,5.0,0.0,West Roxbury,Single Family Residential,59.0,479000.0,53.0,585752.2868686869
509 Centre St #8,1795.0,3.0,2.5,M,M,Townhouse,17.0,535.0,Jamaica Plain,Townhouse,16.0,709000.0,79.0,663824.107776262
38 Westover St,1880.0,4.0,3.0,M,M,Single Family Residential,3.0,0.0,West Roxbury,Single Family Residential,48.0,639900.0,58.0,585752.2868686869
177 Geneva Ave #177,1410.0,3.0,2.0,M,M,Townhouse,3.0,175.0,Dorchester,Townhouse,3.0,475000.0,50.0,562529.161971831
98 Appleton St #1,717.0,1.0,1.0,M,M,Townhouse,3.0,125.0,South End,Townhouse,119.0,629000.0,30.0,1109405.737771739
306 Columbus Ave #5,865.0,2.0,1.0,S,S,Condo/Co-op,36.0,279.0,South End,Condo/Co-op,139.0,759000.0,54.0,1109405.737771739
150 Dorchester Ave #613,1168.0,2.0,2.0,M,M,Condo/Co-op,11.0,,South Boston,Condo/Co-op,11.0,925000.0,54.0,769346.4857594938
9 W Broadway #208,896.0,1.0,1.0,M,M,Condo/Co-op,17.0,432.0,South Boston,Condo/Co-op,113.0,600000.0,63.0,769346.4857594938
36 A St Unit 3B,1002.0,1.0,1.0,M,M,Condo/Co-op,13.0,438.0,Seaport District,Condo/Co-op,13.0,759000.0,47.0,1137853.1846153846
38 Vinton St #1,887.0,2.0,1.0,M,M,Condo/Co-op,3.0,165.0,South Boston,Condo/Co-op,114.0,469000.0,32.0,769346.4857594938
34 Shepton St,1860.0,6.0,2.0,S,S,Single Family Residential,119.0,0.0,Dorchester's Ashmont,Single Family Residential,119.0,439900.0,77.0,534712.0365853659
22 Chickatawbut St #2,1235.0,2.0,2.0,M,M,Condo/Co-op,4.0,210.0,Dorchester's Neponset,Condo/Co-op,3.0,599000.0,59.0,486415.3717948718
25 Piedmont St #2,1328.0,2.0,2.0,L,L,Condo/Co-op,4.0,392.0,South End,Condo/Co-op,4.0,1595000.0,29.0,1109405.737771739
77 Richmond St #2,1105.0,3.0,1.0,M,M,Condo/Co-op,12.0,175.0,Dorchester,Condo/Co-op,89.0,399000.0,43.0,562529.161971831
308 TALBOT Ave Unit A,1724.0,4.0,2.0,M,M,Townhouse,3.0,202.0,Dorchester,Townhouse,11.0,425000.0,63.0,562529.161971831
60 Bellevue St,3177.0,9.0,3.0,N,N,Multi-Family (2-4 Unit),114.0,0.0,Dorchester,Multi-Family (2-4 Unit),114.0,565000.0,64.0,562529.161971831
20 Josephine St,3606.0,11.0,3.0,S,S,Multi-Family (2-4 Unit),119.0,0.0,Dorchester,Multi-Family (2-4 Unit),119.0,650000.0,53.0,562529.161971831
488 Ashmont St,2192.0,4.0,2.0,M,M,Multi-Family (2-4 Unit),4.0,0.0,Dorchester's Ashmont,Multi-Family (2-4 Unit),99.0,625000.0,39.0,534712.0365853659
9 Pierce Ave,2225.0,5.0,2.0,S,S,Multi-Family (2-4 Unit),3.0,0.0,Dorchester,Multi-Family (2-4 Unit),91.0,569000.0,52.0,562529.161971831
25 Alpine St #28,600.0,1.0,1.0,S,S,Condo/Co-op,15.0,205.0,Hyde Park,Condo/Co-op,49.0,149900.0,66.0,449727.45945945947
386 Commonwealth Ave #62,385.0,1.0,1.0,M,M,Condo/Co-op,4.0,414.0,Back Bay,Condo/Co-op,129.0,439000.0,27.0,1160344.096196868
52 Asheville Rd,1400.0,3.0,1.5,S,S,Single Family Residential,74.0,0.0,Hyde Park,Single Family Residential,74.0,390000.0,54.0,449727.45945945947
90-92 Knoll St,3904.0,6.0,4.0,M,M,Multi-Family (2-4 Unit),16.0,0.0,Roslindale,Multi-Family (2-4 Unit),92.0,749900.0,48.0,523412.4187082406
11 Tyndale St,1865.0,4.0,2.0,M,S,Single Family Residential,4.0,0.0,Roslindale,Single Family Residential,109.0,569000.0,46.0,523412.4187082406
75 Charles St Unit 3B,523.0,1.0,1.0,S,S,Condo/Co-op,41.0,316.0,Beacon Hill,Condo/Co-op,169.0,549000.0,15.0,1108321.586419753
75 Charles St Unit 5B,512.0,1.0,1.0,S,S,Condo/Co-op,41.0,303.0,Beacon Hill,Condo/Co-op,169.0,574999.0,44.0,1108321.586419753
440 Commercial St #603,1003.0,2.0,1.0,M,M,Condo/Co-op,14.0,351.0,Waterfront,Condo/Co-op,99.0,899000.0,40.0,1175421.3673469387
75 Fulton St #11,1028.0,1.0,1.5,S,M,Condo/Co-op,3.0,222.0,Waterfront,Condo/Co-op,119.0,639000.0,15.0,1175421.3673469387
8 Cedar St,2697.0,3.0,2.5,L,L,Single Family Residential,2.0,0.0,Charlestown,Single Family Residential,169.0,1499000.0,34.0,842946.4683301344
10 Cross St,1500.0,4.0,1.5,M,M,Single Family Residential,23.0,0.0,Charlestown,Single Family Residential,189.0,1150000.0,79.0,842946.4683301344
74 Washington St #2,1435.0,2.0,2.5,M,M,Condo/Co-op,12.0,219.0,Charlestown,Condo/Co-op,132.0,785000.0,49.0,842946.4683301344
10 School St,1994.0,5.0,2.0,S,S,Single Family Residential,29.0,0.0,Charlestown,Single Family Residential,129.0,775000.0,56.0,842946.4683301344
33 Washington St #2,844.0,2.0,1.0,M,M,Condo/Co-op,149.0,224.0,Charlestown,Condo/Co-op,149.0,579000.0,52.0,842946.4683301344
44 Prince St #402,680.0,1.0,1.0,M,M,Condo/Co-op,14.0,581.0,North End,Condo/Co-op,14.0,729000.0,64.0,713586.6813186812
176 Webster St #2,902.0,2.0,1.0,M,M,Condo/Co-op,4.0,270.0,East Boston's Jeffries Point,Condo/Co-op,109.0,489000.0,37.0,577752.3559322035
198 W Springfield St #1,793.0,2.0,1.0,M,M,Condo/Co-op,10.0,197.0,South End,Condo/Co-op,129.0,735000.0,46.0,1109405.737771739
129 M St #2,1232.0,2.0,2.5,M,M,Condo/Co-op,17.0,150.0,South Boston,Condo/Co-op,129.0,715000.0,94.0,769346.4857594938
2400 Beacon St #506,1217.0,2.0,2.0,L,M,Condo/Co-op,12.0,921.0,Brighton,Condo/Co-op,12.0,859000.0,60.0,637503.5923344948
