DIFF_FROM_NEIGHBOR_AVE_LIST_PRICE,HOA_FEES,YRS_SINCE_REMOD,AGE_OF_HOME,PROPERTY_TYPE_Condo/Co-op,PROPERTY_TYPE_Multi-Family (2-4 Unit),BTH_STYLE_M,KITCH_STYLE_M,trend
-489016.4602272727,1484.0,19.0,19.0,1,0,1,1,53.82884980492944
-813016.4602272727,1344.0,15.0,15.0,1,0,1,1,53.658885394781244
-509016.4602272727,689.0,6.0,6.0,1,0,0,0,53.44233391370959
-273946.4683301344,125.0,17.0,139.0,0,0,1,1,53.45752870357929
256053.5316698656,237.0,6.0,144.0,1,0,1,1,53.44233391370959
-93946.46833013439,200.0,19.0,144.0,1,0,1,1,53.84929272353954
-244058.4683301344,197.0,4.0,109.0,1,0,1,1,53.658885394781244
136053.5316698656,250.0,13.0,144.0,1,0,1,1,53.82884980492944
-123946.46833013439,150.0,12.0,120.0,1,0,1,1,53.82884980492944
-263946.4683301344,175.0,20.0,144.0,1,0,1,1,53.82884980492944
-367946.46833013435,175.0,17.0,99.0,1,0,0,0,53.54438576992164
-213686.68131868134,262.0,39.0,139.0,1,0,0,0,53.658885394781244
-313946.4683301344,160.0,36.0,36.0,1,0,0,0,53.82884980492944
-313946.4683301344,110.0,34.0,120.0,1,0,1,1,53.17250077097781
-243946.4683301344,153.0,12.0,154.0,1,0,0,0,53.54438576992164
306053.5316698656,0.0,8.0,168.0,0,0,1,1,53.44233391370959
-127946.46833013439,175.0,34.0,169.0,1,0,1,1,53.84929272353954
-367946.46833013435,145.0,17.0,134.0,1,0,1,1,53.82884980492944
-193046.4683301344,150.0,9.0,149.0,1,0,1,1,53.84929272353954
-77946.4683301344,0.0,2.0,144.0,0,1,1,1,53.82884980492944
